"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 13 04-9-22 14 36 21 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 13,,,
Date: 4/9/2022 2:34:50 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
0,-0.299609661,0.02,-6.75E-05
0,-0.387948692,0.039999999,-7.05E-05
0,-0.349657714,0.059999999,-6.78E-05
0,-0.204922199,0.079999998,-7.15E-05
-4.88E-05,-0.256271869,0.100000001,-6.95E-05
-4.88E-05,-0.344430804,0.119999997,-6.83E-05
-4.88E-05,-0.39860177,0.140000001,-6.26E-05
-9.77E-05,-0.333188534,0.159999996,-6.28E-05
-4.88E-05,-0.295326114,0.180000007,-7.04E-05
-9.77E-05,-0.266830891,0.200000003,-6.36E-05
-9.77E-05,-0.319560647,0.219999999,-5.27E-05
-0.000146484,-0.3784343,0.239999995,-4.72E-05
-0.000146484,-0.363168776,0.25999999,-5.29E-05
-0.000146484,-0.330272228,0.280000001,-4.46E-05
-0.000195312,-0.299156308,0.300000012,-4.80E-05
-0.000195312,-0.469103962,0.319999993,-4.53E-05
-0.000195312,-0.556164861,0.340000004,-4.76E-05
-0.000244141,-0.552673697,0.360000014,-4.71E-05
-0.000244141,-0.420908809,0.379999995,-4.85E-05
-0.000292969,-0.403634757,0.400000006,-4.11E-05
-0.000292969,-0.476435214,0.419999987,-2.79E-05
-0.000341797,-0.6255548,0.439999998,-2.65E-05
-0.000341797,-0.63945806,0.460000008,-2.16E-05
-0.000390625,-0.508909464,0.479999989,-3.33E-05
-0.000439453,-0.495130807,0.5,-2.96E-05
-0.000488281,-0.674116313,0.519999981,-2.63E-05
-0.000488281,-0.719841123,0.540000021,-2.56E-05
-0.000537109,-0.747431695,0.560000002,-2.30E-05
-0.000537109,-0.733800411,0.579999983,-3.04E-05
-0.000585938,-0.626717269,0.600000024,-2.33E-05
-0.000634766,-0.849874914,0.620000005,-3.13E-06
-0.000634766,-0.834079504,0.639999986,-6.57E-06
