"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 8 04-8-22 20 29 41 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 8,,,
Date: 4/8/2022 8:21:13 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
0,-0.832297564,0.02,-2.08E-05
0,-0.933128297,0.039999999,-2.55E-05
-4.88E-05,-0.85047543,0.059999999,-1.54E-05
-4.88E-05,-0.838902414,0.079999998,-2.56E-05
-4.88E-05,-0.85442102,0.100000001,-1.44E-05
-9.77E-05,-0.91363436,0.119999997,-7.58E-06
-4.88E-05,-0.935007036,0.140000001,-8.40E-06
-9.77E-05,-0.976099372,0.159999996,1.73E-05
-9.77E-05,-0.806922257,0.180000007,5.98E-06
-9.77E-05,-0.853012085,0.200000003,1.13E-05
-0.000146484,-0.808760166,0.219999999,2.13E-05
-0.000146484,-0.895814896,0.239999995,2.69E-05
-0.000146484,-1.021666884,0.25999999,4.85E-05
-0.000195312,-0.85234803,0.280000001,3.49E-05
-0.000195312,-0.781097233,0.300000012,4.69E-05
-0.000195312,-0.812735021,0.319999993,6.11E-05
-0.000244141,-0.944165051,0.340000004,5.47E-05
-0.000244141,-0.963213444,0.360000014,6.25E-05
-0.000292969,-0.918937564,0.379999995,6.45E-05
-0.000292969,-0.760612488,0.400000006,7.51E-05
-0.000341797,-0.854936004,0.419999987,8.33E-05
-0.000341797,-0.989778817,0.439999998,7.65E-05
-0.000390625,-1.041416407,0.460000008,9.23E-05
-0.000390625,-0.962425292,0.479999989,9.96E-05
-0.000439453,-0.796608508,0.5,9.69E-05
-0.000488281,-0.991647661,0.519999981,0.000119444
-0.000488281,-0.991261661,0.540000021,0.000124542
-0.000537109,-1.089062452,0.560000002,0.000118521
-0.000585938,-0.937155724,0.579999983,0.000122102
-0.000585938,-0.874514341,0.600000024,0.000122251
-0.000634766,-0.946383357,0.620000005,0.000137212
-0.000683594,-0.98339057,0.639999986,0.000144458
-0.000683594,-1.052925348,0.660000026,0.000140107
-0.000732422,-1.082735896,0.680000007,0.000161618
-0.00078125,-0.928268135,0.699999988,0.000162412
-0.000830078,-1.010883331,0.720000029,0.000172552
-0.000830078,-1.055918574,0.74000001,0.000196004
-0.000878906,-1.204276562,0.75999999,0.000206859
-0.000927734,-1.096333623,0.779999971,0.000217087
-0.000976563,-0.986348629,0.800000012,0.000218045
-0.001025391,-1.138742924,0.819999993,0.000216105
-0.001025391,-1.221332908,0.839999974,0.000257076
-0.001074219,-1.224938512,0.860000014,0.0002576
-0.001123047,-1.140746117,0.879999995,0.000264837
-0.001171875,-1.224666357,0.899999976,0.000274226
-0.001220703,-1.15054369,0.920000017,0.000283607
-0.001269531,-1.259047151,0.939999998,0.000296526
-0.001318359,-1.328593969,0.959999979,0.00030126
-0.001367187,-1.210515857,0.980000019,0.000302366
-0.001416016,-1.246314406,1,0.000318055
-0.001464844,-1.261331916,1.019999981,0.000322271
-0.001513672,-1.292430878,1.039999962,0.000340412
-0.0015625,-1.422855377,1.059999943,0.000355655
-0.001611328,-1.357665658,1.080000043,0.000355718
-0.001660156,-1.279356837,1.100000024,0.000364628
-0.001660156,-1.232029915,1.120000005,0.000380287
-0.001708984,-1.376584053,1.139999986,0.000383846
-0.001757812,-1.527977705,1.159999967,0.00040104
-0.001806641,-1.461872101,1.179999948,0.000402613
-0.001855469,-1.413495898,1.200000048,0.000414299
-0.001855469,-1.420139194,1.220000029,0.000429866
-0.001904297,-1.471647501,1.24000001,0.000438077
-0.001953125,-1.565172553,1.25999999,0.000448999
-0.002001953,-1.523264647,1.279999971,0.000456599
-0.002050781,-1.40474987,1.299999952,0.000448765
-0.002050781,-1.489697814,1.320000052,0.000477538
-0.002099609,-1.554697394,1.340000033,0.000475791
-0.002148437,-1.655463934,1.360000014,0.000491557
-0.002148437,-1.610762715,1.379999995,0.00050411
-0.002197266,-1.548543811,1.399999976,0.000513616
-0.002246094,-1.573437214,1.419999957,0.000518917
-0.002294922,-1.603287816,1.440000057,0.000519524
-0.002294922,-1.706725001,1.460000038,0.000547386
-0.00234375,-1.677220821,1.480000019,0.000553656
-0.002392578,-1.649112344,1.5,0.000545484
-0.002392578,-1.634992838,1.519999981,0.000548404
-0.002441406,-1.686777115,1.539999962,0.000580875
-0.002490234,-1.766869903,1.559999943,0.000573356
-0.002539063,-1.73903966,1.580000043,0.000586661
-0.002539063,-1.69023037,1.600000024,0.000575882
-0.002587891,-1.662373185,1.620000005,0.000593143
-0.002636719,-1.734102845,1.639999986,0.000618418
-0.002636719,-1.867896318,1.659999967,0.00060801
-0.002685547,-1.801362753,1.679999948,0.000633407
-0.002734375,-1.720181465,1.700000048,0.000632298
-0.002734375,-1.794412613,1.720000029,0.000634406
-0.002783203,-1.809681535,1.74000001,0.000638157
-0.002832031,-1.790135741,1.75999999,0.000644759
-0.002880859,-1.854768276,1.779999971,0.000652705
-0.002880859,-1.814691305,1.799999952,0.000651291
-0.002929688,-1.772730947,1.820000052,0.000650022
-0.002978516,-1.873087525,1.840000033,0.000670609
-0.002978516,-1.901500702,1.860000014,0.000685634
-0.003027344,-2.018731833,1.879999995,0.000688691
-0.003076172,-1.936125278,1.899999976,0.00069164
-0.003076172,-1.813680172,1.919999957,0.000686031
-0.003125,-1.990486145,1.940000057,0.000721929
-0.003173828,-1.980214238,1.960000038,0.000733291
-0.003173828,-2.048039675,1.980000019,0.000723563
-0.003222656,-1.975595474,2,0.000734182
-0.003271484,-1.896333098,2.019999981,0.000735462
-0.003271484,-2.009176731,2.039999962,0.000747289
-0.003320313,-2.026339293,2.059999943,0.000766216
-0.003369141,-2.13017869,2.079999924,0.000754898
-0.003417969,-2.017551422,2.099999905,0.000754121
-0.003417969,-1.960278034,2.119999886,0.000770084
-0.003466797,-2.025121212,2.140000105,0.00077458
-0.003466797,-2.111116171,2.160000086,0.000788147
-0.003515625,-2.108893156,2.180000067,0.000783546
-0.003564453,-2.108431101,2.200000048,0.000795566
-0.003564453,-1.952219963,2.220000029,0.000794185
-0.003613281,-2.107653856,2.24000001,0.000805782
-0.003662109,-2.18187499,2.25999999,0.000829507
-0.003662109,-2.225841761,2.279999971,0.000827844
-0.003710938,-2.189072371,2.299999952,0.000830169
-0.003759766,-2.146218061,2.319999933,0.000839791
-0.003759766,-2.164097548,2.339999914,0.000842591
-0.003808594,-2.236096621,2.359999895,0.000864348
-0.003857422,-2.302281857,2.380000114,0.000870356
-0.003857422,-2.222187996,2.400000095,0.00086405
-0.00390625,-2.162777662,2.420000076,0.000869899
-0.003955078,-2.160895586,2.440000057,0.000884752
-0.003955078,-2.333222866,2.460000038,0.000896193
-0.004003906,-2.353837252,2.480000019,0.000899222
-0.004052734,-2.216486931,2.5,0.000897226
-0.004101562,-2.21735692,2.519999981,0.0009023
-0.004101562,-2.270751715,2.539999962,0.000919208
-0.004150391,-2.375349283,2.559999943,0.000924246
-0.004199219,-2.433094501,2.579999924,0.00093386
-0.004199219,-2.362923145,2.599999905,0.000935294
-0.004248047,-2.295580387,2.619999886,0.000937286
-0.004296875,-2.371240616,2.640000105,0.000955038
-0.004296875,-2.294495344,2.660000086,0.000959591
-0.004345703,-2.564779282,2.680000067,0.000974081
-0.004394531,-2.38619113,2.700000048,0.000979113
-0.004394531,-2.330870628,2.720000029,0.000971482
-0.00444336,-2.368450403,2.74000001,0.001002355
-0.004492188,-2.394971848,2.75999999,0.001006374
-0.004541016,-2.537132502,2.779999971,0.001003374
-0.004541016,-2.443384647,2.799999952,0.001014304
-0.004589844,-2.463897228,2.819999933,0.001013825
-0.004638672,-2.346247196,2.839999914,0.001033662
-0.004638672,-2.531239033,2.859999895,0.001042736
-0.0046875,-2.647690535,2.880000114,0.001049358
-0.004736328,-2.549914598,2.900000095,0.001056007
-0.004736328,-2.513992786,2.920000076,0.001052339
-0.004785156,-2.550560474,2.940000057,0.001076793
-0.004833984,-2.610455513,2.960000038,0.001090995
-0.004833984,-2.707045317,2.980000019,0.001079696
-0.004882812,-2.672250032,3,0.001096916
-0.00493164,-2.571956396,3.019999981,0.001099445
-0.004980469,-2.606738806,3.039999962,0.001096265
-0.004980469,-2.704916239,3.059999943,0.001113116
-0.005029297,-2.706048965,3.079999924,0.001121726
-0.005078125,-2.762114286,3.099999905,0.00112637
-0.005126953,-2.619232416,3.119999886,0.001133873
-0.005126953,-2.654093266,3.140000105,0.001138006
-0.005175781,-2.795739174,3.160000086,0.001157042
-0.00522461,-2.795249462,3.180000067,0.001155926
-0.00522461,-2.755290508,3.200000048,0.001165698
-0.005273438,-2.77023077,3.220000029,0.001181741
-0.005322266,-2.680552006,3.24000001,0.00119309
-0.005371094,-2.865534067,3.25999999,0.001200903
-0.005371094,-2.867977858,3.279999971,0.001202451
-0.005419922,-2.863847971,3.299999952,0.001208184
-0.00546875,-2.858900309,3.319999933,0.001213164
-0.005517578,-2.771784306,3.339999914,0.00121629
-0.005517578,-2.884483814,3.359999895,0.001232908
-0.005566406,-2.984848261,3.380000114,0.001255922
-0.005615234,-2.955011606,3.400000095,0.001255258
-0.005664062,-2.855857134,3.420000076,0.001258838
