"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 10 04-8-22 20 51 46 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 10,,,
Date: 4/8/2022 8:40:40 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
-0.000292969,-0.697750509,0.02,6.80E-05
-0.000488281,-0.641637266,0.039999999,7.39E-05
-0.000537109,-0.688731849,0.059999999,7.26E-05
-0.000537109,-0.710054517,0.079999998,7.57E-05
-0.000537109,-0.851555586,0.100000001,8.79E-05
-0.000537109,-0.735611439,0.119999997,8.66E-05
-0.000488281,-0.633619964,0.140000001,8.40E-05
-0.000537109,-0.611068368,0.159999996,7.59E-05
-0.000537109,-0.681588769,0.180000007,7.40E-05
-0.000537109,-0.788802564,0.200000003,8.26E-05
-0.000537109,-0.685405433,0.219999999,7.64E-05
-0.000537109,-0.72529006,0.239999995,7.68E-05
-0.000537109,-0.691336095,0.25999999,7.71E-05
-0.000537109,-0.727735281,0.280000001,8.73E-05
-0.000537109,-0.804419041,0.300000012,8.73E-05
-0.000585938,-0.658683956,0.319999993,8.58E-05
-0.000585938,-0.65871495,0.340000004,8.30E-05
-0.000585938,-0.651833355,0.360000014,9.03E-05
-0.000634766,-0.677938461,0.379999995,8.60E-05
-0.000634766,-0.744489253,0.400000006,8.73E-05
-0.000634766,-0.754522562,0.419999987,9.38E-05
-0.000634766,-0.697076023,0.439999998,7.99E-05
-0.000683594,-0.64806062,0.460000008,9.00E-05
-0.000732422,-0.719375193,0.479999989,8.10E-05
-0.000732422,-0.771461189,0.5,9.83E-05
-0.000732422,-0.750889778,0.519999981,9.79E-05
-0.00078125,-0.644089878,0.540000021,7.98E-05
-0.00078125,-0.617675185,0.560000002,8.51E-05
-0.000830078,-0.795507073,0.579999983,9.98E-05
-0.000878906,-0.881671488,0.600000024,9.40E-05
-0.000878906,-0.829687774,0.620000005,9.80E-05
-0.000927734,-0.701476216,0.639999986,8.81E-05
-0.000927734,-0.622528255,0.660000026,9.86E-05
-0.000976563,-0.838423073,0.680000007,9.63E-05
-0.001025391,-0.792038321,0.699999988,9.76E-05
-0.001074219,-0.859146297,0.720000029,0.000102775
-0.001123047,-0.749058962,0.74000001,9.69E-05
-0.001123047,-0.728235424,0.75999999,0.000100442
-0.001171875,-0.791436374,0.779999971,9.89E-05
-0.001220703,-0.852524102,0.800000012,0.00010695
-0.001269531,-0.900578856,0.819999993,0.000108393
-0.001269531,-0.824215949,0.839999974,0.000101729
-0.001318359,-0.794061005,0.860000014,0.000106496
-0.001367187,-0.842509508,0.879999995,0.000103456
-0.001367187,-1.020863295,0.899999976,0.000104603
-0.001416016,-0.935376585,0.920000017,0.000103348
-0.001464844,-0.949673176,0.939999998,0.000108034
-0.001513672,-0.801056087,0.959999979,0.000108329
-0.0015625,-0.94013828,0.980000019,0.000111516
-0.0015625,-1.022374511,1,0.000122066
-0.001611328,-1.036481619,1.019999981,0.000121056
-0.001660156,-0.862440109,1.039999962,0.000118708
-0.001660156,-0.828922987,1.059999943,0.000121385
-0.001708984,-0.871139765,1.080000043,0.000121892
-0.001757812,-1.014823794,1.100000024,0.000127201
-0.001806641,-1.005930185,1.120000005,0.000125426
-0.001855469,-0.895020545,1.139999986,0.000126417
-0.001855469,-0.919593751,1.159999967,0.000128012
-0.001855469,-0.945484221,1.179999948,0.00012523
-0.001904297,-1.065914631,1.200000048,0.000134321
-0.001953125,-1.048623681,1.220000029,0.000138742
-0.001953125,-0.971832752,1.24000001,0.000133894
-0.002001953,-0.961276174,1.25999999,0.000131496
-0.002050781,-0.956272721,1.279999971,0.000130973
-0.002099609,-0.980434954,1.299999952,0.000127153
-0.002099609,-0.91558212,1.320000052,0.000127449
-0.002148437,-0.843998909,1.340000033,0.00012502
-0.002148437,-0.822616458,1.360000014,0.000108657
-0.002197266,-0.905348003,1.379999995,0.000122078
-0.002246094,-0.872074783,1.399999976,0.000121596
-0.002294922,-0.960267425,1.419999957,0.000125859
-0.002294922,-0.949036598,1.440000057,0.000119079
-0.00234375,-0.679783046,1.460000038,0.000118223
-0.002392578,-0.906562746,1.480000019,0.000115343
-0.002392578,-0.862384319,1.5,0.00011234
-0.002441406,-0.956174135,1.519999981,0.00011828
-0.002441406,-0.828103602,1.539999962,0.000125799
-0.002490234,-0.792054415,1.559999943,0.000121324
-0.002539063,-0.878516912,1.580000043,0.000130558
-0.002539063,-0.899182737,1.600000024,0.0001356
-0.002587891,-0.941390753,1.620000005,0.000136197
-0.002636719,-0.887935042,1.639999986,0.000129089
-0.002636719,-0.803750455,1.659999967,0.000123953
-0.002685547,-0.883617342,1.679999948,0.00012167
-0.002685547,-0.870579839,1.700000048,0.000130859
-0.002734375,-1.009129763,1.720000029,0.000133021
-0.002783203,-0.902663529,1.74000001,0.000124866
-0.002783203,-0.802069247,1.75999999,0.000124439
-0.002832031,-0.910071313,1.779999971,0.000122043
-0.002832031,-0.934359431,1.799999952,0.000141002
-0.002880859,-1.002002239,1.820000052,0.000131229
-0.002929688,-1.000404358,1.840000033,0.00013062
-0.002978516,-0.792596519,1.860000014,0.000123232
-0.002978516,-0.80083549,1.879999995,0.000130114
-0.003027344,-0.988464057,1.899999976,0.00013527
-0.003076172,-0.986708641,1.919999957,0.00012974
-0.003076172,-0.948540688,1.940000057,0.00014182
-0.003125,-0.881792009,1.960000038,0.000137801
-0.003173828,-0.872822464,1.980000019,0.000143509
-0.003222656,-0.952334762,2,0.000144151
-0.003271484,-1.021522522,2.019999981,0.00014107
-0.003271484,-0.968691111,2.039999962,0.000144095
-0.003320313,-0.840694129,2.059999943,0.00014097
-0.003320313,-0.868357778,2.079999924,0.000139658
-0.003369141,-0.964234531,2.099999905,0.000143304
-0.003417969,-0.987150609,2.119999886,0.000145195
-0.003417969,-0.994575143,2.140000105,0.000138436
-0.003466797,-0.920918107,2.160000086,0.000144497
-0.003515625,-0.840659201,2.180000067,0.00013546
-0.003564453,-0.941450536,2.200000048,0.000151657
-0.003564453,-1.031079412,2.220000029,0.000148129
-0.003613281,-1.067335963,2.24000001,0.0001469
-0.003662109,-0.907280147,2.25999999,0.000141281
-0.003710938,-0.890457273,2.279999971,0.000141669
-0.003710938,-0.983320475,2.299999952,0.000148551
-0.003759766,-1.107832313,2.319999933,0.000146276
-0.003759766,-0.972727239,2.339999914,0.000150371
-0.003808594,-0.915721536,2.359999895,0.000144366
-0.003857422,-0.840720534,2.380000114,0.00014201
-0.00390625,-0.943449438,2.400000095,0.000153696
-0.00390625,-1.069297314,2.420000076,0.000148169
-0.003955078,-0.997298419,2.440000057,0.000141125
-0.004003906,-0.964232743,2.460000038,0.000142084
-0.004003906,-0.93581003,2.480000019,0.000143118
-0.004052734,-0.935922265,2.5,0.000146306
-0.004101562,-1.044868708,2.519999981,0.000154561
-0.004150391,-0.973852694,2.539999962,0.000147506
-0.004150391,-0.923207998,2.559999943,0.000144088
-0.004199219,-0.906638443,2.579999924,0.000158388
-0.004248047,-0.952673256,2.599999905,0.000158626
-0.004296875,-1.053277373,2.619999886,0.000154942
-0.004296875,-1.020113707,2.640000105,0.000156311
-0.004345703,-0.915308118,2.660000086,0.000143264
-0.004394531,-0.843051374,2.680000067,0.00014277
-0.00444336,-0.957633197,2.700000048,0.000154961
-0.004492188,-1.080302596,2.720000029,0.000159287
-0.004492188,-1.010941982,2.74000001,0.000150517
-0.004541016,-0.974032938,2.75999999,0.000157682
-0.004589844,-0.895885766,2.779999971,0.000156495
-0.004589844,-0.961297929,2.799999952,0.000157898
-0.004638672,-1.002620578,2.819999933,0.000164422
-0.0046875,-1.032800913,2.839999914,0.000164837
-0.004736328,-0.930201232,2.859999895,0.000152848
-0.004736328,-0.89071095,2.880000114,0.000161017
-0.004785156,-0.938048482,2.900000095,0.000158994
-0.004785156,-1.110561848,2.920000076,0.000164008
-0.004833984,-1.008277535,2.940000057,0.000160083
-0.004882812,-0.958092749,2.960000038,0.000163317
-0.00493164,-0.803519845,2.980000019,0.000152614
-0.00493164,-0.969084442,3,0.000171826
-0.004980469,-0.98515749,3.019999981,0.000174364
-0.005029297,-1.019467115,3.039999962,0.000174278
-0.005078125,-0.978491604,3.059999943,0.000159768
-0.005126953,-0.852498353,3.079999924,0.000164846
-0.005126953,-1.000585437,3.099999905,0.000166613
-0.005175781,-0.950824797,3.119999886,0.000167427
-0.005175781,-1.03030622,3.140000105,0.000169361
-0.00522461,-1.005953312,3.160000086,0.000168315
-0.005273438,-0.911613464,3.180000067,0.000169965
-0.005322266,-0.960664093,3.200000048,0.000167406
-0.005322266,-1.045764685,3.220000029,0.000168003
-0.005371094,-1.057547569,3.24000001,0.0001728
-0.005419922,-1.047844768,3.25999999,0.000170195
-0.00546875,-0.879371583,3.279999971,0.000166748
-0.00546875,-0.988928139,3.299999952,0.000170858
-0.005517578,-1.004391432,3.319999933,0.000169612
-0.005566406,-0.929802716,3.339999914,0.00017524
-0.005615234,-0.978476048,3.359999895,0.000172266
-0.005615234,-0.939582646,3.380000114,0.000163438
-0.005664062,-0.902188122,3.400000095,0.000165844
-0.00571289,-1.01744771,3.420000076,0.000166952
-0.005761719,-1.018906116,3.440000057,0.000174744
-0.005761719,-0.940425873,3.460000038,0.00017558
-0.005810547,-0.873887241,3.480000019,0.000172176
-0.005810547,-0.903945684,3.5,0.000173523
-0.005859375,-0.976730406,3.519999981,0.000192932
-0.005908203,-0.988504529,3.539999962,0.000183484
-0.005908203,-0.973088086,3.559999943,0.00017716
-0.005957031,-0.891608536,3.579999924,0.000172746
-0.005957031,-0.902504861,3.599999905,0.000183439
-0.006005859,-1.010411382,3.619999886,0.000180675
-0.006054688,-1.066963911,3.640000105,0.000177129
-0.006103516,-0.919420898,3.660000086,0.000177433
-0.006103516,-0.902906418,3.680000067,0.000173289
-0.006152344,-0.925874412,3.700000048,0.000177081
-0.006201172,-0.943002939,3.720000029,0.000177277
-0.006201172,-1.097116232,3.74000001,0.000182213
-0.00625,-0.980611324,3.75999999,0.000186734
-0.006298828,-0.94051367,3.779999971,0.000182972
-0.006347656,-0.918335378,3.799999952,0.00017707
-0.006347656,-0.962181389,3.819999933,0.000190001
-0.006396484,-1.034169793,3.839999914,0.000180621
-0.006445312,-0.959517598,3.859999895,0.000188782
-0.006445312,-0.91395241,3.880000114,0.000170337
-0.006494141,-0.901048124,3.900000095,0.000179813
-0.006494141,-0.960664153,3.920000076,0.000178448
-0.006542969,-1.102239132,3.940000057,0.0001808
-0.006591797,-1.013377428,3.960000038,0.000189625
-0.006640625,-0.895832717,3.980000019,0.000183708
-0.006640625,-0.884473205,4,0.000181151
-0.006689453,-0.93990618,4.019999981,0.000184736
-0.006738281,-1.029664159,4.039999962,0.000183739
-0.006738281,-0.973115087,4.059999943,0.000184962
-0.006787109,-0.953687727,4.079999924,0.000187441
-0.006835938,-0.878836215,4.099999905,0.000184801
-0.006884766,-0.987075925,4.119999886,0.000192035
-0.006884766,-1.085863352,4.139999866,0.000192645
-0.006933594,-0.991255403,4.159999847,0.000190537
-0.006933594,-0.929778039,4.179999828,0.00018678
-0.006982422,-0.812636256,4.199999809,0.000178937
-0.00703125,-0.96180141,4.21999979,0.000182985
-0.007080078,-1.013049722,4.239999771,0.000182669
-0.007080078,-1.01160574,4.260000229,0.000193299
-0.007128906,-0.891346633,4.28000021,0.000181357
-0.007177734,-0.832735181,4.300000191,0.000179205
-0.007226563,-0.984808505,4.320000172,0.000179455
-0.007226563,-0.973793924,4.340000153,0.000198749
-0.007275391,-0.996470153,4.360000134,0.000184974
-0.007324219,-0.866606176,4.380000114,0.000188519
-0.007324219,-0.816292226,4.400000095,0.000185585
-0.007373047,-0.941038609,4.420000076,0.000187404
-0.007373047,-0.955082595,4.440000057,0.000194121
-0.007421875,-0.940452456,4.460000038,0.00018719
-0.007470703,-0.934847891,4.480000019,0.000188635
-0.007470703,-0.786178231,4.5,0.000182608
-0.007519531,-0.928758562,4.519999981,0.000181361
-0.007519531,-1.001089454,4.539999962,0.000179531
-0.007568359,-1.005345702,4.559999943,0.000185553
-0.007617187,-0.930538297,4.579999924,0.000185894
-0.007617187,-0.869504154,4.599999905,0.00017641
-0.007666015,-0.935424268,4.619999886,0.000187364
-0.007714843,-0.997035384,4.639999866,0.000187958
-0.007714843,-0.954136431,4.659999847,0.000188011
-0.007763672,-0.983852267,4.679999828,0.000192701
-0.0078125,-0.856532931,4.699999809,0.00018146
-0.0078125,-0.874449492,4.71999979,0.000194873
-0.007861328,-1.016580105,4.739999771,0.000186885
-0.007910156,-1.044863224,4.760000229,0.000191233
-0.007958984,-0.893243551,4.78000021,0.000185335
