"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 3 04-8-22 16 07 51 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 3,,,
Date: 4/8/2022 4:06:06 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
-4.88E-05,-2.566328526,0.02,-5.06E-06
-4.88E-05,-2.358408928,0.039999999,-1.70E-05
-4.88E-05,-2.463494778,0.059999999,-9.17E-06
-4.88E-05,-2.533885241,0.079999998,-8.10E-06
-4.88E-05,-2.66408515,0.100000001,-4.61E-07
-4.88E-05,-2.563597202,0.119999997,-6.27E-06
-9.77E-05,-2.489780426,0.140000001,-6.74E-06
-9.77E-05,-2.473318577,0.159999996,-4.22E-06
-9.77E-05,-2.60405159,0.180000007,-1.03E-05
-0.000146484,-2.656465292,0.200000003,5.90E-06
-0.000146484,-2.571982145,0.219999999,-7.95E-06
-0.000146484,-2.526971102,0.239999995,-3.41E-06
-0.000195312,-2.503619909,0.25999999,-8.14E-06
-0.000195312,-2.619556427,0.280000001,3.25E-06
-0.000195312,-2.703485966,0.300000012,-5.33E-06
-0.000244141,-2.589583397,0.319999993,-2.20E-06
-0.000244141,-2.606727123,0.340000004,-5.89E-06
-0.000244141,-2.641933918,0.360000014,-7.06E-06
-0.000292969,-2.766651869,0.379999995,3.88E-06
-0.000292969,-2.792115688,0.400000006,5.34E-07
-0.000341797,-2.734592438,0.419999987,4.74E-06
-0.000341797,-2.70386982,0.439999998,-1.01E-06
-0.000390625,-2.677864552,0.460000008,7.69E-06
-0.000390625,-2.810132265,0.479999989,2.59E-06
-0.000439453,-2.950540543,0.5,6.41E-06
-0.000488281,-2.868637085,0.519999981,3.71E-06
-0.000488281,-2.936107397,0.540000021,2.19E-06
-0.000537109,-2.944669962,0.560000002,3.01E-06
-0.000585938,-3.060746193,0.579999983,4.73E-06
-0.000634766,-3.29239893,0.600000024,1.75E-06
-0.000683594,-3.326303482,0.620000005,-3.61E-07
-0.000732422,-3.245882273,0.639999986,5.12E-06
-0.00078125,-3.386425257,0.660000026,-4.30E-07
-0.00078125,-3.496376514,0.680000007,9.08E-06
-0.000830078,-3.745751858,0.699999988,7.53E-06
-0.000878906,-3.673251867,0.720000029,8.03E-06
-0.000927734,-3.588652849,0.74000001,2.94E-06
-0.000976563,-3.702799082,0.75999999,2.85E-06
-0.001025391,-3.899713516,0.779999971,9.49E-06
-0.001025391,-4.066935062,0.800000012,1.55E-05
-0.001074219,-4.077354908,0.819999993,1.59E-05
-0.001123047,-4.120401382,0.839999974,1.28E-05
-0.001171875,-4.235454082,0.860000014,1.21E-05
-0.001220703,-4.353475571,0.879999995,1.91E-05
-0.001269531,-4.517456055,0.899999976,1.91E-05
-0.001269531,-4.543756962,0.920000017,1.55E-05
-0.001318359,-4.561528683,0.939999998,1.56E-05
-0.001367187,-4.621424675,0.959999979,1.63E-05
-0.001416016,-4.780029774,0.980000019,2.59E-05
-0.001416016,-4.855475426,1,2.46E-05
-0.001464844,-4.955828667,1.019999981,1.58E-05
-0.001513672,-4.964338779,1.039999962,1.97E-05
-0.0015625,-4.955502033,1.059999943,2.01E-05
-0.001611328,-5.094625473,1.080000043,1.93E-05
-0.001611328,-5.402478218,1.100000024,2.00E-05
-0.001660156,-5.386639595,1.120000005,2.67E-05
-0.001708984,-5.372724533,1.139999986,1.66E-05
-0.001757812,-5.416517735,1.159999967,1.97E-05
-0.001806641,-5.638946056,1.179999948,2.93E-05
-0.001806641,-5.842931271,1.200000048,3.37E-05
-0.001855469,-5.849962234,1.220000029,3.98E-05
-0.001904297,-5.937319279,1.24000001,2.35E-05
-0.001953125,-5.936968327,1.25999999,3.02E-05
-0.002001953,-6.102210522,1.279999971,3.32E-05
-0.002050781,-6.363688469,1.299999952,3.42E-05
-0.002050781,-6.350643158,1.320000052,3.75E-05
-0.002099609,-6.451881886,1.340000033,2.98E-05
-0.002148437,-6.450450897,1.360000014,3.05E-05
-0.002197266,-6.598568439,1.379999995,2.82E-05
-0.002246094,-6.834164143,1.399999976,4.22E-05
-0.002246094,-6.920436859,1.419999957,3.09E-05
-0.002294922,-6.995253086,1.440000057,4.06E-05
-0.00234375,-6.959878445,1.460000038,3.67E-05
-0.002392578,-7.120214939,1.480000019,3.82E-05
-0.002441406,-7.365772247,1.5,3.68E-05
-0.002441406,-7.452180386,1.519999981,3.99E-05
-0.002490234,-7.49861908,1.539999962,3.81E-05
-0.002539063,-7.469061852,1.559999943,4.15E-05
-0.002587891,-7.640188694,1.580000043,3.98E-05
-0.002636719,-7.862905025,1.600000024,4.39E-05
-0.002685547,-7.945951462,1.620000005,4.73E-05
-0.002685547,-7.95589304,1.639999986,4.40E-05
-0.002734375,-7.985775948,1.659999967,5.39E-05
-0.002783203,-8.228613853,1.679999948,5.12E-05
-0.002832031,-8.38693428,1.700000048,5.87E-05
-0.002832031,-8.534715652,1.720000029,5.17E-05
-0.002880859,-8.564911842,1.74000001,5.38E-05
-0.002929688,-8.574712753,1.75999999,4.55E-05
-0.002978516,-8.720959663,1.779999971,5.89E-05
-0.002978516,-8.881358147,1.799999952,6.26E-05
-0.003027344,-8.967131615,1.820000052,4.92E-05
